,TSC22D1,KLF1,MAP2K6,CEBPE,RUNX1T1,MAML2,CBL,PTPN9,TGFBR2,ETS2,SGK1,TBX3,DUSP9,SPI1,ELMSAN1,UBASH3B,PTPN12,FOXA1,FOXA3,IGDCC3,BCORL1,MEIS1,GLB1L2,IKZF3,BAK1,FEV,MAP2K3,SLC38A2,SET,LHX1,TBX2,SLC4A1,RREB1,ZNF318,MAPK1,COL2A1,ZBTB25,MAP4K5,SLC6A9,MIDN,OSR2,DLX2,CBFA2T3,HES7,FOXL2,AHR,FOXO4,RHOXF2BB,S1PR2,POU3F2,LYL1,IER5L,CNN1,CELF2,JUN,CEBPA,MAP4K3,ZC3HAV1,CDKN1A,UBASH3A,PRTG,PTPN1,TP73,MAP7D1,FOSB,C19orf26,IRF1,TMSB4X,BPGM,SAMD1,HOXB9,HOXC13,CKS1B,CLDN6,KIF18B,KIF2C,BCL2L11,COL1A1,CEBPB,FOXF1,ZBTB1,PLK4,ARRDC3,C3orf72,KIAA1804,HNF4A,SNAI1,KMT2A,ISL2,CSRNP1,ARID1A,CNNM4,NCL,ZBTB10,STIL,ATL1,NIT1,CDKN1B,PTPN13,HOXA13,CITED1,PRDM1,HK2,CDKN1C,EGR1
HOXB9,,,0.9549905579922028,,,,,,,,0.9677944659776054,,,,,,,,,,,0.9226219315245479,,,,,,,,,,0.9736029889538662,,,,0.9802442528735632,,,,,,,,,,0.9524861712361712,,,,,,0.9659325396825397,,,,,,,,,,,,,,,,,,,,0.942404268675455,,,,,,,,,,,,,,,,,,,,,,0.9582583932853717,,,,,,,0.9505718954248366,,,,
HOXC13,,0.9793747356778034,0.9382495787491328,,,,0.9357459154069323,,,,0.9541453159900145,,0.9048256233804851,,,,,,,0.9227055228871209,,0.8938378662462226,,,,,0.9517861346516008,,,,,,,,,,,,,0.9456928838951311,,,0.9350121393484276,,0.9427068701813528,,,,,,,,,,,,,,,,,,,,,0.8810527766294611,0.9887005649717514,,,,0.9568816698053987,,,,,,,,,0.9184798545539851,0.9247405824551179,,,,,,,,0.9462161760333035,,,,,,,,,0.9218720243763092,,0.8591841719589643,0.8991359255566633,,,,
CKS1B,,0.9658298818062432,,,,,,0.9031354983202688,,,,,,,,,,,,,,,,,,,,,0.9405126041556797,,,,,,,,0.8593301435406699,,,,,0.917888074616922,0.8678920920391431,,,,,,,,,,,,,,,,,,,0.8069965332492908,,,,,,,,,,,,,,,,,,0.9462757239118558,,,,,,,0.9116086587436333,,,,,,,,,,,,,,,,,,
CLDN6,,0.9157842052578895,,,,,,,,,,,0.8527108732282683,,,,,0.9077260458839406,,0.8574953007518797,,0.9170746634026927,,0.9365355469826397,,,,,,,,0.9693367189904586,,0.9258979374110953,,,0.8920574162679425,,,,,,,,,,,0.9565273477812178,,,,,0.917281183728552,,,,,,,,0.8798550520686744,,,,,0.849390243902439,,,,0.9002075080173552,,,,,,,,,,,,,,,,,,,,,,,,,,0.8422131147540983,,,,,,,,0.8710526315789473,
KIF18B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL2L11,,,,,0.9256024096385542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL1A1,,,,,,,,0.9308510638297872,,,,0.967798950566142,,0.9379968203497615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9783613445378151,,,,,,,0.9763814616755793,,,,,,,,,,,,,,,,,,,,,,,,0.9374224565756825,,,,,,,,,,,,,,,,,,
CEBPB,,,,0.9521780524730378,,,,,,,,,,0.9333492784820219,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9364578391127063,,,,,,,,,,,,,0.8897208985704561,,0.9124728669226917,,,,,,,,,0.8283040765994487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXF1,,0.9642489489868432,,,,,,0.9233159095928735,,,,0.9441968213008034,,,,0.8913804323672264,,0.7752787389465591,,,,,,,,,,,,,,,,,,,0.8977036804026423,,,,,0.936971661337655,,,0.8677079034528005,,,,,,,,,,,,,,,,,0.8815697325073037,,,,0.8039328213351338,0.9791151754819575,,,0.9072813185995461,,0.8973471741637831,0.903387361136405,,,,,,,,0.8875184660076739,,,,,0.8968103448275861,0.8929149458644938,,,,0.8977011494252873,,,,0.820379073490678,0.8724828407737251,,0.8623247903348776,,,,,,,
ZBTB1,,0.9657397884825852,,,,,,,,,,,0.8871459483377311,,,,,,,,,,,0.9608079929191857,,,,,,,,0.9453911761256053,,,,,,,,,,,,,,,,,0.9618835771376866,,,,,,,,,,,,,,0.9041417035686377,,,0.8393738206723041,0.9847932869422841,,,0.8829873972092155,,0.9199326566622958,,,,,,,,0.8760868918610761,,,,,,,,,,,,,,,,,,,,,,,,,0.8781132907207406
PLK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6691919191919192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARRDC3,,,,,,,,,,,,,,,,0.6760284530425806,,,,,,,,,,,,,,,,,0.7309941520467836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3orf72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5657161234991425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNF4A,,,,,,,,,,,,0.9473239436619718,,0.9558108108108108,,0.9098224513172967,,,,,,,,,,,,,,0.9909564264181967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893448275862069,,,,,,,,,,,,,,,,,,0.8867300537412154,,,,,,0.9444652908067541,
SNAI1,,,,,,,,,,,,0.9435824625170377,,,,,,,,,,,,,,,,,0.9789417544766954,,,,,,,0.9525027808676307,,,,,0.9644105634777793,0.9146110056925997,0.9419679040363106,,,,,,,,,,,,,,,,,,,0.9095768694081918,,,,,,,,,,,0.9429117147707979,,,,,0.9166408188585609,,0.8989563567362427,,,,,,,,,,,,,,,,,,,,,0.9067836812144212,,,,
KMT2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL2,,,,,,,,,,,,,,,,,,,0.9307494279176202,,,0.8557986536107711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9319172932330828,,,,,,,,,,,,,,,,,,,,0.937518584597086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSRNP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARID1A,,,,,,,,0.9365152386428983,,,,0.9550860719874804,,0.9543543543543545,,0.9120211276568664,,,,,,,,0.9358862779228314,,,,,,,,,,,,,,,,,,,,,,,0.9516358463726885,,,,,,,,,,,,,,,0.8844311377245508,,,,,,,,,,,,,,,,,,0.8912835249042145,,,,,,,,,,,,,,,,,,,,,,,,,
CNNM4,,,,,,,,,,,,,,,,,,,,0.8747278911564627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9586813186813188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699309749784296,,,,,,,,,
NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB10,,,,,,,,,0.8886110363046461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9344945096554336,,,,,,,,,,,,,,,,,,,,,,,,,,0.9583583133493205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8487669180976836,,,,,,,,,,0.8153695191860766,,,,,,,,,,,,,,,,,,,,,,,,,
ATL1,,,,,,,0.799601240584847,0.854970352284618,0.8299289909704567,,,0.9285153544216117,0.8407185997781339,0.93070447496677,,0.8451542636095619,,,,0.8374456339913015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8429680759275238,,,,,,0.8668107848435718,,,,,,0.9508196721311476,0.8043261928455454,0.8972999035679845,,0.8468703427719821,,,0.8511795281887244,,,0.8561119030648611,,,,,0.8284081104400344,,,,,,0.903851608145669,,,,,,,,,,,,0.8930112165660051,,,,,0.912568306010929,0.9219227563212005,,,,,,0.8403530895334174,
NIT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9399748281537418,,,0.975206611570248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9577744659711873,,,,,,,,,
CDKN1B,,,,,,,0.8647045350435182,0.8702848900108187,,,,0.9320840296013368,,0.9344480073293633,,0.7849030228900926,,,,0.8765349360083017,,,,,,,,,,,,,,0.8762024736601008,,,0.8728813559322033,,,,,,,,,,0.812221231043711,,,,,,,,,,,,0.7061351157794223,,,,,,,,,,,,,0.9017806132165302,,,,,,,,0.8717084041991672,,,,,,0.8544853245142621,,,,,,,,,,0.8085579327590997,,,,,,,,,
PTPN13,,,,,,,,,,,,,,,,,,0.9002279202279202,,,,,,,,,,,,,,,,,,,,,,,0.9481798715203427,,,,,,,,0.914327485380117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOXA13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9780344202898551,,,,,,,,,,,,,,,,,,0.8914247862218475,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8364680019540791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITED1,,,0.8976393188854489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9490400326797386,0.922233300099701,,,,,,,,,,,,,,,0.9296726755218216,,,,,,,,,,,,,,,,,,
PRDM1,,0.9839377714920698,0.9522100706311233,,,,0.9572481572481573,,,,0.9462464300285598,,0.9463791056588841,,,0.919454994875505,0.9067830587549205,,,0.9357881310418904,,0.8961038961038961,,0.9365466538408684,,,,,,,,0.9537550015389351,0.9545454545454546,,,,0.9344037780401416,,,,,,0.9456306405458947,,,,,0.9496904024767802,,,,0.9307606679035251,0.9147146712936187,,,,,,,,0.973435655253837,,,,,,0.9965225563909774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKN1C,,,,,,,,,,,0.9169350029815146,0.9389830508474577,,0.9172557172557172,,0.8219654199011996,,,,,,,,0.9130487313733388,,,,,,,,,,,,,,,,,,,,,,,0.9137651821862348,,,,,,,,,,,,,,,,,,,,,,0.8711223203026482,,,,,0.8672064777327936,,,,,,,,,,,,0.8896810506566604,,,,,,,,,,0.8832282471626735,,,,,,,,,
EGR1,,,,,,,,,,,,,,,,,,,,,,,,0.9155955011046395,,,,,,,,0.9071075123706703,,,,0.9367755532139094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703189493433396,,,,,,,,,,,,,,,0.8256006171478952,,,,,,,,,,,,,,,,,,,,,,,,
